mode,tag,seed,train_datasets,test_dataset,n_train,n_test,attn_proxy_text,attn_proxy_egemap,attn_proxy_deep,accuracy,f1_weighted,f1_macro,auc_roc,brier_score,mcc,sensitivity,specificity,precision_dem,precision_ctrl
acoustic_hubert,P->A,42,['pitt'],adress,495,138,,,,0.7391304347826086,0.734113712374582,0.7346153846153847,0.8306722689075631,0.2270195186138153,0.5016976527345511,0.8823529411764706,0.6,0.6818181818181818,0.84
acoustic_hubert,P->A,43,['pitt'],adress,495,138,,,,0.6884057971014492,0.6787289585021155,0.6795031055900622,0.8251050420168067,0.2784851789474487,0.4073265054988013,0.8676470588235294,0.5142857142857142,0.6344086021505376,0.8
acoustic_hubert,P->A,44,['pitt'],adress,495,138,,,,0.644927536231884,0.6248402094368399,0.6260576231819941,0.7774159663865546,0.2747621238231659,0.334787836958547,0.8823529411764706,0.4142857142857143,0.594059405940594,0.7837837837837838
interaction_only,P->A,42,['pitt'],adress,495,138,,,,0.7463768115942029,0.7355339529252571,0.7362817362817362,0.8994747899159663,0.1853428483009338,0.5456315100769367,0.9558823529411764,0.5428571428571428,0.6701030927835051,0.926829268292683
interaction_only,P->A,43,['pitt'],adress,495,138,,,,0.6956521739130435,0.6748269425215836,0.6759838998211092,0.9016806722689076,0.1956944763660431,0.4626329951331429,0.9558823529411764,0.4428571428571428,0.625,0.9117647058823528
interaction_only,P->A,44,['pitt'],adress,495,138,,,,0.7463768115942029,0.7370822976589233,0.7377707801726479,0.868172268907563,0.2110283821821212,0.5379168863234902,0.9411764705882352,0.5571428571428572,0.6736842105263158,0.9069767441860463
fusion_gated,P->A,42,['pitt'],adress,495,138,0.5447657108306885,0.0260184314101934,0.4292159378528595,0.7753623188405797,0.7657586440195137,0.7664209664209665,0.934873949579832,0.1689115613698959,0.6090663444413994,0.9852941176470588,0.5714285714285714,0.6907216494845361,0.975609756097561
fusion_gated,P->A,43,['pitt'],adress,495,138,0.4968590140342712,0.1175035387277603,0.385637104511261,0.717391304347826,0.7168712294570418,0.7170198222829802,0.8134453781512605,0.1844026744365692,0.4377467862812471,0.7647058823529411,0.6714285714285714,0.6933333333333334,0.746031746031746
fusion_gated,P->A,44,['pitt'],adress,495,138,0.7187280058860779,0.0039458856917917,0.2773260176181793,0.7608695652173914,0.7521061663641277,0.7527553070199251,0.9232142857142857,0.2071209847927093,0.569212219507572,0.9558823529411764,0.5714285714285714,0.6842105263157895,0.9302325581395348
fusion_attn,P->A,42,['pitt'],adress,495,138,0.5394518971443176,0.2227076590061187,0.2378405630588531,0.7753623188405797,0.7683859933387344,0.768944099378882,0.9330882352941176,0.2025599926710128,0.5928415476071662,0.9558823529411764,0.6,0.6989247311827957,0.9333333333333332
fusion_attn,P->A,43,['pitt'],adress,495,138,0.5024884939193726,0.2275338321924209,0.2699776589870453,0.8695652173913043,0.8687389835487662,0.8688766891891893,0.959873949579832,0.1115050911903381,0.7511250375806655,0.9558823529411764,0.7857142857142857,0.8125,0.9482758620689656
fusion_attn,P->A,44,['pitt'],adress,495,138,0.5456520318984985,0.2172377258539199,0.2371101975440979,0.7898550724637681,0.7853671515684646,0.7857945726061125,0.9198529411764708,0.1847155690193176,0.610166382475825,0.9411764705882352,0.6428571428571429,0.7191011235955056,0.9183673469387756
linguistic,P->T,42,['pitt'],taukadial,495,102,,,,0.5588235294117647,0.5495755770662696,0.5351898734177215,0.5752351097178684,0.3461489975452423,0.0793030647450789,0.6896551724137931,0.3863636363636363,0.5970149253731343,0.4857142857142857
linguistic,P->T,43,['pitt'],taukadial,495,102,,,,0.5882352941176471,0.5882352941176471,0.5803291536050157,0.6032523510971788,0.3007895946502685,0.1606583072100313,0.6379310344827587,0.5227272727272727,0.6379310344827587,0.5227272727272727
linguistic,P->T,44,['pitt'],taukadial,495,102,,,,0.6372549019607843,0.6030882081664986,0.5822910902047593,0.6802507836990596,0.3218090832233429,0.2419012121656915,0.8793103448275862,0.3181818181818182,0.6296296296296297,0.6666666666666666
